"【改制後】縣市重要統計指標 依 指標, 期間 與 縣市"

" "," "," 總計"," 臺灣地區"," 新北市"," 臺北市"," 桃園市"," 臺中市"," 臺南市"," 高雄市"," 宜蘭縣"," 新竹縣"," 苗栗縣"," 彰化縣"," 南投縣"," 雲林縣"," 嘉義縣"," 屏東縣"," 臺東縣"," 花蓮縣"," 澎湖縣"," 基隆市"," 新竹市"," 嘉義市"," 金門縣"," 連江縣"
"具有下列條件者：ぇ無工作；え隨時可以工作；ぉ正在尋找工作或已找工作在 "
"       "
"等待結果。此外，尚包括等待恢復工作者及找到職業而未開始工作亦無報酬者 "
"       。 "
"公式：（失業人口數／勞動力人口數）＊100 "
"註記：自91年起金門縣於每年5月及11月各辦理1次人力資源抽樣調查；連江縣 "
"       於每年9月辦理1次普查。 "
"-------------------------- "
"指標項：歲入(百萬元) "
"定義：依預算法第六條規定稱歲入者，謂一個會計年度之一切收入。自88下半?"
"~及 "
"       89年度起不包括債務之舉借及以前年度歲計賸餘之移用。 "
"註記：1.指決算審定數。2.為會計年度資料，88年度（含）以前係指上年7月 "
"       1日至當年6月30日止，89年度係指88年下半年及89年，90年度以 "
"       後與曆年相同。 "
"-------------------------- "
"指標項：平均每人每年可支配所得(元) "
"定義：平均每人每年可支配所得。 "
"公式：平均每戶可支配所得／平均每戶人數 "

